"x1","y","x2"
2.10E+03,4.00E+05,3.00E+00
1.60E+03,3.30E+05,3.00E+00
2.40E+03,3.69E+05,3.00E+00
1.42E+03,2.32E+05,2.00E+00
3.00E+03,5.40E+05,4.00E+00
1.99E+03,3.00E+05,4.00E+00
1.53E+03,3.15E+05,3.00E+00
1.43E+03,1.99E+05,3.00E+00
1.38E+03,2.12E+05,3.00E+00
1.49E+03,2.43E+05,3.00E+00
1.94E+03,2.40E+05,4.00E+00
2.00E+03,3.47E+05,3.00E+00
1.89E+03,3.30E+05,3.00E+00
4.48E+03,7.00E+05,5.00E+00
1.27E+03,2.60E+05,3.00E+00
2.30E+03,4.50E+05,4.00E+00
1.32E+03,3.00E+05,2.00E+00
1.24E+03,2.00E+05,3.00E+00
2.61E+03,5.00E+05,4.00E+00
3.03E+03,5.99E+05,4.00E+00
1.77E+03,2.53E+05,3.00E+00
1.89E+03,2.55E+05,2.00E+00
1.60E+03,2.43E+05,3.00E+00
1.96E+03,2.60E+05,4.00E+00
3.89E+03,5.74E+05,3.00E+00
1.10E+03,2.50E+05,3.00E+00
1.46E+03,4.65E+05,3.00E+00
2.53E+03,4.69E+05,3.00E+00
2.20E+03,4.75E+05,3.00E+00
2.64E+03,3.00E+05,3.00E+00
1.84E+03,3.50E+05,2.00E+00
1.00E+03,1.70E+05,1.00E+00
2.04E+03,3.15E+05,4.00E+00
3.14E+03,5.80E+05,3.00E+00
1.81E+03,2.86E+05,4.00E+00
1.44E+03,2.50E+05,3.00E+00
1.24E+03,2.30E+05,3.00E+00
2.13E+03,3.45E+05,4.00E+00
4.22E+03,5.49E+05,4.00E+00
2.16E+03,2.87E+05,4.00E+00
